model,num_frames,params_M,flops_GF,latency_avg_ms,latency_p50_ms,latency_p95_ms,peak_mem_MB,SpeedUp
MatrixDiT-H,32,269.253648,768.757010432,9.994725186843423,9.960794472135603,10.113144991919398,1632.07568359375,1.5458073284685976
MatrixDiT-H,64,269.286416,1533.206728704,11.03221896570176,10.99104742752388,11.045650113373997,1692.32568359375,3.8282331882096003
MatrixDiT-H,128,269.351952,3079.017598976,20.90229691239074,20.868134510237724,20.94975102227181,1812.82568359375,6.363636679963654
MatrixDiT-H,8,269.305872,200.405700608,9.882147265598178,9.787691466044636,10.129326954483986,1587.23388671875,0.5165609047618932
MatrixDiT-H,16,269.314064,391.27590912,9.966619024053216,9.921556513290852,10.212169028818607,1602.29638671875,0.5336274234677678
MatrixDiT-H,32,269.330448,774.243160064,10.176127017475665,10.118479491211474,10.329974931664765,1632.42138671875,1.518251434295168
MatrixDiT-H,64,269.363216,1545.084997632,11.225531920790672,11.185879004187882,11.266829911619425,1692.67138671875,3.7623078427022207
MatrixDiT-H,128,269.428752,3106.398015488,21.28846336621791,21.24024648219347,21.35915099643171,1813.17138671875,6.2482021853328344
MatrixDiT-H,8,270.190608,215.001878528,9.699827167205513,9.662576543632897,9.79851803276688,1593.93701171875,0.5262702978632886
MatrixDiT-H,16,270.1988,420.669591552,9.932220079936087,9.887683554552495,10.025253053754568,1613.17138671875,0.5354755721970048
MatrixDiT-H,32,270.215184,833.835831296,10.235307675320657,10.189394932240248,10.38662192877382,1651.73388671875,1.5094728883534236
MatrixDiT-H,64,270.247952,1667.491565568,12.451659690123051,12.391403026413172,12.48649600893259,1729.23388671875,3.391829509892227
MatrixDiT-H,128,270.313488,3364.096053248,23.4765651775524,23.43718899646774,23.52633897680789,1885.73388671875,5.6658468698975355
MatrixDiT-H,8,268.863504,193.107611648,9.929459143895656,9.882324491627514,10.181118967011573,1585.45263671875,0.5140995958119133
MatrixDiT-H,16,268.871696,376.579067904,9.887965079396963,9.839816484600306,10.069726966321468,1600.51513671875,0.5378721696309544
MatrixDiT-H,32,268.88808,744.446824448,9.910526920575649,9.878815500997009,9.99476294964552,1630.64013671875,1.5589402625783733
MatrixDiT-H,64,268.920848,1483.881713664,10.842500075232238,10.752766043879092,10.83551999181509,1690.89013671875,3.895218491219633
MatrixDiT-H,128,268.986384,2977.548996608,20.154630704782903,20.11518704239279,20.21753799635917,1811.39013671875,6.5997053121700215
MatrixDiT-H,8,270.089232,213.287456768,9.687146744690835,9.647005470469594,9.871860034763811,1590.31005859375,0.5269591828270153
MatrixDiT-H,16,270.097424,417.13379328,9.813692918978631,9.795021498575808,9.892395930364728,1605.37255859375,0.5419429030844263
MatrixDiT-H,32,270.113808,826.336415744,10.099994235206395,10.05954248830676,10.188765940256417,1638.49755859375,1.529695867151801
MatrixDiT-H,64,270.146576,1650.781458432,11.839134497568011,11.801616987213492,11.831482988782229,1710.74755859375,3.567313708005474
MatrixDiT-H,128,270.212112,3323.830734848,22.85802929662168,22.821302933152765,22.86616701167077,1879.24755859375,5.819164093329767
MatrixDiT-H,8,270.973968,227.883634688,9.765661696437746,9.739808971062304,9.838486090302467,1599.12255859375,0.5227224832465509
MatrixDiT-H,16,270.98216,446.527475712,9.817443364299834,9.73055901704356,9.857279947027564,1620.93505859375,0.5417358708511034
MatrixDiT-H,32,270.998544,885.929086976,10.04793343367055,10.031832032836974,10.095832054503262,1666.06005859375,1.5376215957083943
MatrixDiT-H,64,271.031312,1773.188026368,12.943265892099587,12.908318021800367,12.9269789904356,1762.31005859375,3.263002331573358
MatrixDiT-H,128,271.096848,3581.528772608,25.020154267549515,24.984763585962355,25.02589696086943,1978.81005859375,5.3162990885190995
MatrixDiT-H,8,269.646864,205.989367808,9.564299734774975,9.46990045486018,9.612401016056538,1588.52880859375,0.5337276198013012
MatrixDiT-H,16,269.655056,402.436952064,9.391846642829478,9.359897463582456,9.471350000239909,1603.59130859375,0.5662849312548044
MatrixDiT-H,32,269.67144,796.540080128,9.917927016504107,9.853859490249306,10.015762061811984,1633.71630859375,1.5577770852863222
MatrixDiT-H,64,269.704208,1589.578174464,11.22200130019337,11.17085455916822,11.260465951636434,1693.96630859375,3.7634915247574536
MatrixDiT-H,128,269.769744,3194.981715968,21.574786687269807,21.52368501992896,21.64378296583891,1845.46630859375,6.16528104102489
MatrixDiT-H,8,269.358096,201.264484352,9.80168562149629,9.768737014383078,9.94480401277542,1587.43896484375,0.5208013325088051
MatrixDiT-H,16,269.366288,392.999768064,9.800176271237431,9.769412456080316,9.925447055138648,1602.50146484375,0.5426903642641129
MatrixDiT-H,32,269.382672,777.716043776,10.13658988289535,10.110991017427295,10.205334052443504,1632.62646484375,1.524173279015923
MatrixDiT-H,64,269.41544,1552.131428352,11.28358967602253,11.247089481912552,11.288514942862092,1692.87646484375,3.7429495397055543
MatrixDiT-H,128,269.480976,3120.893530112,21.34464988019317,21.30721852881834,21.36715198867023,1813.37646484375,6.2317547523050285
MatrixDiT-H,8,270.242832,215.860662272,9.761567132081836,9.727882978040723,9.838567930273712,1594.28271484375,0.5229417432095235
MatrixDiT-H,16,270.251024,422.393450496,9.699746400583535,9.669810999184849,9.77431598585099,1613.68896484375,0.5483093073619325
MatrixDiT-H,32,270.267408,837.308715008,10.134717558976265,10.051616001874208,10.164289036765696,1652.68896484375,1.5244548602312382
MatrixDiT-H,64,270.300176,1674.537996288,12.441313145682216,12.401760555803776,12.49651494435966,1731.43896484375,3.394650250303541
MatrixDiT-H,128,270.365712,3378.591567872,23.57966371579096,23.54164997814223,23.60376599244773,1891.93896484375,5.6410738053954
